feature value,n_samples,precision,recall,fbeta
 Private,4505,0.7245714285714285,0.6271018793273986,0.6723223753976669
 Local-gov,453,0.6875,0.6111111111111112,0.6470588235294118
 State-gov,272,0.746268656716418,0.6756756756756757,0.7092198581560283
 ?,384,0.5769230769230769,0.35714285714285715,0.4411764705882353
 Self-emp-inc,219,0.75,0.7815126050420168,0.7654320987654322
 Federal-gov,201,0.8333333333333334,0.8024691358024691,0.8176100628930817
 Self-emp-not-inc,475,0.71875,0.4928571428571429,0.5847457627118644
 Without-pay,4,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 HS-grad,2097,0.594017094017094,0.41124260355029585,0.48601398601398604
 Some-college,1438,0.6403940886699507,0.47619047619047616,0.5462184873949579
 Bachelors,1084,0.7554585152838428,0.7505422993492408,0.7529923830250272
 11th,215,0.5,0.18181818181818182,0.26666666666666666
 12th,89,1.0,0.4,0.5714285714285715
 7th-8th,142,1.0,0.14285714285714285,0.25
 Doctorate,78,0.835820895522388,0.9333333333333333,0.8818897637795275
 Assoc-voc,296,0.6875,0.5714285714285714,0.624113475177305
 Assoc-acdm,202,0.5952380952380952,0.5208333333333334,0.5555555555555556
 Prof-school,119,0.8876404494382022,0.9186046511627907,0.9028571428571427
 Masters,357,0.8325123152709359,0.8492462311557789,0.8407960199004975
 9th,99,1.0,0.2857142857142857,0.4444444444444445
 10th,174,0.8333333333333334,0.38461538461538464,0.5263157894736842
 5th-6th,73,1.0,0.4,0.5714285714285715
 1st-4th,37,1.0,0.3333333333333333,0.5
 Preschool,13,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Never-married,2103,0.8571428571428571,0.3853211009174312,0.5316455696202532
 Married-civ-spouse,3043,0.723015873015873,0.6703458425312729,0.6956853760977472
 Married-spouse-absent,105,1.0,0.4444444444444444,0.6153846153846153
 Divorced,877,0.6538461538461539,0.38636363636363635,0.48571428571428565
 Separated,188,0.8333333333333334,0.5,0.625
 Widowed,191,1.0,0.35294117647058826,0.5217391304347826
 Married-AF-spouse,6,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Protective-serv,136,0.6486486486486487,0.631578947368421,0.64
 Transport-moving,328,0.6744186046511628,0.42028985507246375,0.5178571428571429
 Machine-op-inspct,394,0.47058823529411764,0.35555555555555557,0.40506329113924056
 Adm-clerical,758,0.6071428571428571,0.53125,0.5666666666666667
 Sales,700,0.7294117647058823,0.6048780487804878,0.6613333333333333
 ?,384,0.5769230769230769,0.35714285714285715,0.4411764705882353
 Other-service,653,0.5555555555555556,0.16129032258064516,0.25
 Prof-specialty,821,0.7786666666666666,0.7956403269754768,0.7870619946091644
 Exec-managerial,837,0.779126213592233,0.781021897810219,0.7800729040097206
 Tech-support,176,0.7916666666666666,0.6440677966101694,0.7102803738317757
 Craft-repair,814,0.6076923076923076,0.42021276595744683,0.4968553459119498
 Handlers-cleaners,281,0.6666666666666666,0.14285714285714285,0.23529411764705882
 Farming-fishing,200,1.0,0.25,0.4
 Priv-house-serv,31,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Not-in-family,1649,0.7634408602150538,0.40804597701149425,0.5318352059925093
 Husband,2696,0.7191111111111111,0.6741666666666667,0.6959139784946237
 Unmarried,695,0.8181818181818182,0.375,0.5142857142857142
 Own-child,984,1.0,0.3333333333333333,0.5
 Wife,315,0.753731343283582,0.6644736842105263,0.7062937062937064
 Other-relative,174,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 White,5570,0.7264822134387352,0.6373092926490985,0.6789804211304026
 Black,625,0.8113207547169812,0.5180722891566265,0.6323529411764707
 Asian-Pac-Islander,207,0.7058823529411765,0.631578947368421,0.6666666666666667
 Amer-Indian-Eskimo,55,0.75,0.5,0.6
 Other,56,0.4,0.4,0.4000000000000001
feature value,n_samples,precision,recall,fbeta
 Male,4345,0.7253580454928391,0.6430171769977595,0.681710213776722
 Female,2168,0.743455497382199,0.5590551181102362,0.6382022471910114
feature value,n_samples,precision,recall,fbeta
 United-States,5792,0.7253968253968254,0.638268156424581,0.6790490341753342
 Philippines,36,0.7142857142857143,0.6666666666666666,0.689655172413793
 Holand-Netherlands,1,0.0,0.0,0.0
 France,7,0.75,0.75,0.75
 Mexico,141,0.8,0.4,0.5333333333333333
 ?,128,0.8333333333333334,0.625,0.7142857142857143
 Vietnam,15,0.0,0.0,0.0
 Iran,13,0.42857142857142855,0.75,0.5454545454545454
 China,17,0.625,1.0,0.7692307692307693
 Greece,10,0.25,0.3333333333333333,0.28571428571428575
 India,20,0.8333333333333334,0.625,0.7142857142857143
 Italy,19,1.0,0.3333333333333333,0.5
 Jamaica,18,1.0,0.3333333333333333,0.5
 Taiwan,11,1.0,0.3333333333333333,0.5
 Haiti,12,1.0,1.0,1.0
 Columbia,11,0.0,0.0,0.0
 Cuba,21,1.0,0.6,0.7499999999999999
 Canada,22,0.75,0.375,0.5
 Dominican-Republic,22,0.5,1.0,0.6666666666666666
 England,19,1.0,0.3333333333333333,0.5
 Germany,21,0.75,0.2727272727272727,0.39999999999999997
 South,20,0.6,0.75,0.6666666666666665
 Outlying-US(Guam-USVI-etc),3,0.0,0.0,0.0
 Poland,7,1.0,1.0,1.0
 Puerto-Rico,23,0.8,1.0,0.888888888888889
 Portugal,11,1.0,0.25,0.4
 Ireland,6,1.0,1.0,1.0
 El-Salvador,19,1.0,0.6666666666666666,0.8
 Japan,15,1.0,0.5,0.6666666666666666
 Thailand,2,0.0,0.0,0.0
 Guatemala,15,1.0,0.3333333333333333,0.5
 Yugoslavia,2,0.0,0.0,0.0
 Trinadad&Tobago,4,1.0,1.0,1.0
 Honduras,2,0.0,0.0,0.0
 Peru,7,0.5,1.0,0.6666666666666666
 Laos,2,0.0,0.0,0.0
 Cambodia,4,1.0,0.5,0.6666666666666666
 Ecuador,2,0.0,0.0,0.0
 Nicaragua,8,0.0,0.0,0.0
 Hong,3,0.0,0.0,0.0
 Scotland,2,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Private,4490,0.7485101311084624,0.6199407699901284,0.6781857451403888
 Self-emp-not-inc,513,0.7211538461538461,0.5514705882352942,0.6250000000000001
 Local-gov,450,0.6942148760330579,0.6774193548387096,0.6857142857142856
 ?,377,0.5833333333333334,0.4375,0.5
 Federal-gov,183,0.7580645161290323,0.7014925373134329,0.7286821705426356
 Self-emp-inc,213,0.7857142857142857,0.7586206896551724,0.7719298245614034
 State-gov,283,0.75,0.6951219512195121,0.721518987341772
 Without-pay,2,0.0,0.0,0.0
 Never-worked,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1438,0.7052631578947368,0.49814126394052044,0.5838779956427015
 9th,102,1.0,0.2,0.33333333333333337
 Assoc-voc,276,0.7166666666666667,0.589041095890411,0.6466165413533834
 10th,170,0.4,0.2,0.26666666666666666
 Assoc-acdm,227,0.6428571428571429,0.5625,0.6000000000000001
 Bachelors,1099,0.775330396475771,0.7318087318087318,0.7529411764705883
 11th,260,0.8,0.3076923076923077,0.4444444444444444
 HS-grad,2075,0.5865384615384616,0.40131578947368424,0.47656250000000006
 Masters,358,0.7867298578199052,0.8258706467661692,0.8058252427184466
 5th-6th,56,0.0,0.0,0.0
 Prof-school,109,0.8936170212765957,0.9545454545454546,0.9230769230769231
 12th,94,0.5,0.16666666666666666,0.25
 7th-8th,125,1.0,0.16666666666666666,0.2857142857142857
 Doctorate,88,0.8615384615384616,0.8888888888888888,0.8750000000000001
 1st-4th,28,0.0,0.0,0.0
 Preschool,8,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,2960,0.7331163547599675,0.6733931240657698,0.7019867549668874
 Never-married,2156,0.8775510204081632,0.4095238095238095,0.5584415584415585
 Divorced,900,0.782608695652174,0.4235294117647059,0.549618320610687
 Married-spouse-absent,80,1.0,0.14285714285714285,0.25
 Widowed,195,1.0,0.2631578947368421,0.4166666666666667
 Separated,218,0.875,0.4375,0.5833333333333334
 Married-AF-spouse,4,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Machine-op-inspct,386,0.2916666666666667,0.15217391304347827,0.2
 Craft-repair,810,0.6333333333333333,0.4393063583815029,0.5187713310580204
 Transport-moving,300,0.6875,0.3728813559322034,0.4835164835164835
 Exec-managerial,831,0.7884130982367759,0.7615571776155717,0.7747524752475248
 Adm-clerical,741,0.5925925925925926,0.4948453608247423,0.5393258426966292
 Sales,735,0.7212121212121212,0.5979899497487438,0.6538461538461539
 Prof-specialty,861,0.8244274809160306,0.7921760391198044,0.8079800498753118
 Other-service,642,0.6666666666666666,0.17391304347826086,0.27586206896551724
 Tech-support,205,0.6949152542372882,0.6949152542372882,0.6949152542372882
 Handlers-cleaners,269,0.6666666666666666,0.15384615384615385,0.25
 ?,379,0.5833333333333334,0.4375,0.5
 Farming-fishing,193,0.5,0.13333333333333333,0.2105263157894737
 Protective-serv,135,0.6896551724137931,0.6060606060606061,0.6451612903225807
 Priv-house-serv,25,1.0,1.0,1.0
 Armed-Forces,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2613,0.7355371900826446,0.6748104465037911,0.7038664323374341
 Other-relative,174,0.75,0.375,0.5
 Not-in-family,1704,0.8846153846153846,0.3988439306358382,0.549800796812749
 Own-child,1010,0.8888888888888888,0.47058823529411764,0.6153846153846153
 Unmarried,707,0.7,0.35,0.4666666666666667
 Wife,305,0.7101449275362319,0.6758620689655173,0.6925795053003534
feature value,n_samples,precision,recall,fbeta
 Asian-Pac-Islander,205,0.8431372549019608,0.6935483870967742,0.7610619469026549
 White,5567,0.7390946502057614,0.6323943661971831,0.6815939278937382
 Black,627,0.703125,0.5769230769230769,0.6338028169014084
 Other,57,0.75,0.6,0.6666666666666665
 Amer-Indian-Eskimo,57,1.0,0.8,0.888888888888889
feature value,n_samples,precision,recall,fbeta
 Male,4345,0.7452339688041595,0.6432311144353029,0.6904857486953031
 Female,2168,0.7228260869565217,0.5708154506437768,0.6378896882494005
feature value,n_samples,precision,recall,fbeta
 Philippines,50,0.9166666666666666,0.5789473684210527,0.7096774193548387
 United-States,5818,0.7347107438016529,0.630943931866572,0.6788850706376479
 Mexico,110,1.0,0.2,0.33333333333333337
 Puerto-Rico,30,0.8,1.0,0.888888888888889
 Canada,27,0.8571428571428571,0.75,0.7999999999999999
 Jamaica,15,1.0,0.5,0.6666666666666666
 Germany,45,0.8461538461538461,0.7333333333333333,0.7857142857142856
 El-Salvador,16,1.0,0.8,0.888888888888889
 ?,135,0.6923076923076923,0.6206896551724138,0.6545454545454545
 India,22,0.9,0.8181818181818182,0.8571428571428572
 South,11,0.3333333333333333,0.5,0.4
 Cuba,22,0.75,0.42857142857142855,0.5454545454545454
 Trinadad&Tobago,6,0.0,0.0,0.0
 France,11,0.6666666666666666,0.5,0.5714285714285715
 China,14,1.0,0.8333333333333334,0.9090909090909091
 Vietnam,13,1.0,1.0,1.0
 Guatemala,11,0.0,0.0,0.0
 Iran,8,0.75,0.6,0.6666666666666665
 Haiti,8,0.0,0.0,0.0
 Dominican-Republic,13,1.0,1.0,1.0
 Columbia,11,0.0,0.0,0.0
 England,17,0.8,0.8,0.8000000000000002
 Hungary,2,0.0,0.0,0.0
 Taiwan,7,1.0,0.75,0.8571428571428571
 Portugal,6,0.0,0.0,0.0
 Ecuador,7,1.0,0.5,0.6666666666666666
 Japan,18,1.0,0.7142857142857143,0.8333333333333333
 Poland,13,0.6666666666666666,0.6666666666666666,0.6666666666666666
 Italy,12,0.6666666666666666,0.5,0.5714285714285715
 Hong,6,0.5,0.5,0.5
 Peru,5,0.5,0.5,0.5
 Ireland,6,1.0,0.5,0.6666666666666666
 Nicaragua,5,1.0,1.0,1.0
 Greece,4,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),2,0.0,0.0,0.0
 Yugoslavia,2,0.0,0.0,0.0
 Laos,3,0.0,0.0,0.0
 Cambodia,1,0.0,0.0,0.0
 Honduras,1,0.0,0.0,0.0
